message
"{'loss': 0.1846, 'learning_rate': 4.9859953784748966e-05, 'epoch': 0.01}"
"{'loss': 0.1377, 'learning_rate': 4.9854118525780174e-05, 'epoch': 0.01}"
"{'loss': 0.2052, 'learning_rate': 4.984828326681138e-05, 'epoch': 0.01}"
"{'loss': 0.2102, 'learning_rate': 4.984244800784259e-05, 'epoch': 0.01}"
"{'loss': 0.1349, 'learning_rate': 4.98366127488738e-05, 'epoch': 0.01}"
"{'loss': 0.2069, 'learning_rate': 4.9830777489905006e-05, 'epoch': 0.01}"
"{'loss': 0.2184, 'learning_rate': 4.9824942230936214e-05, 'epoch': 0.01}"
"{'loss': 0.1958, 'learning_rate': 4.9819106971967415e-05, 'epoch': 0.01}"
"{'loss': 0.2366, 'learning_rate': 4.981327171299863e-05, 'epoch': 0.01}"
"{'loss': 0.1537, 'learning_rate': 4.980743645402983e-05, 'epoch': 0.01}"
"{'loss': 0.212, 'learning_rate': 4.980160119506104e-05, 'epoch': 0.01}"
"{'loss': 0.1697, 'learning_rate': 4.979576593609225e-05, 'epoch': 0.01}"
"{'loss': 0.1698, 'learning_rate': 4.9789930677123455e-05, 'epoch': 0.01}"
"{'loss': 0.1739, 'learning_rate': 4.9784095418154656e-05, 'epoch': 0.01}"
"{'loss': 0.1397, 'learning_rate': 4.977826015918587e-05, 'epoch': 0.01}"
"{'loss': 0.177, 'learning_rate': 4.977242490021707e-05, 'epoch': 0.01}"
"{'loss': 0.1655, 'learning_rate': 4.976658964124828e-05, 'epoch': 0.01}"
"{'loss': 0.1544, 'learning_rate': 4.976075438227949e-05, 'epoch': 0.01}"
"{'loss': 0.1724, 'learning_rate': 4.9754919123310696e-05, 'epoch': 0.01}"
"{'loss': 0.2394, 'learning_rate': 4.97490838643419e-05, 'epoch': 0.01}"
"{'loss': 0.1511, 'learning_rate': 4.974324860537311e-05, 'epoch': 0.01}"
"{'loss': 0.1598, 'learning_rate': 4.973741334640431e-05, 'epoch': 0.01}"
"{'loss': 0.1695, 'learning_rate': 4.973157808743552e-05, 'epoch': 0.01}"
"{'loss': 0.1439, 'learning_rate': 4.972574282846673e-05, 'epoch': 0.01}"
"{'loss': 0.1414, 'learning_rate': 4.971990756949794e-05, 'epoch': 0.01}"
"{'loss': 0.1654, 'learning_rate': 4.971407231052914e-05, 'epoch': 0.01}"
"{'loss': 0.2244, 'learning_rate': 4.970823705156035e-05, 'epoch': 0.01}"
"{'loss': 0.151, 'learning_rate': 4.9702401792591554e-05, 'epoch': 0.01}"
"{'loss': 0.1579, 'learning_rate': 4.969656653362276e-05, 'epoch': 0.01}"
"{'loss': 0.1817, 'learning_rate': 4.969073127465397e-05, 'epoch': 0.01}"
"{'loss': 0.261, 'learning_rate': 4.968489601568518e-05, 'epoch': 0.01}"
"{'loss': 0.1649, 'learning_rate': 4.9679060756716386e-05, 'epoch': 0.01}"
"{'loss': 0.1882, 'learning_rate': 4.9673225497747594e-05, 'epoch': 0.01}"
"{'loss': 0.1756, 'learning_rate': 4.96673902387788e-05, 'epoch': 0.01}"
"{'loss': 0.1422, 'learning_rate': 4.966155497981e-05, 'epoch': 0.01}"
"{'loss': 0.1678, 'learning_rate': 4.965571972084122e-05, 'epoch': 0.01}"
"{'loss': 0.2046, 'learning_rate': 4.964988446187242e-05, 'epoch': 0.01}"
"{'loss': 0.1542, 'learning_rate': 4.964404920290363e-05, 'epoch': 0.01}"
"{'loss': 0.1639, 'learning_rate': 4.9638213943934835e-05, 'epoch': 0.01}"
"{'loss': 0.1373, 'learning_rate': 4.963237868496604e-05, 'epoch': 0.01}"
"{'loss': 0.2058, 'learning_rate': 4.9626543425997244e-05, 'epoch': 0.01}"
"{'loss': 0.1757, 'learning_rate': 4.962070816702846e-05, 'epoch': 0.01}"
"{'loss': 0.182, 'learning_rate': 4.961487290805966e-05, 'epoch': 0.01}"
"{'loss': 0.1496, 'learning_rate': 4.960903764909087e-05, 'epoch': 0.01}"
"{'loss': 0.1574, 'learning_rate': 4.9603202390122076e-05, 'epoch': 0.01}"
"{'loss': 0.1558, 'learning_rate': 4.9597367131153284e-05, 'epoch': 0.01}"
"{'loss': 0.1553, 'learning_rate': 4.9591531872184485e-05, 'epoch': 0.01}"
"{'loss': 0.1468, 'learning_rate': 4.95856966132157e-05, 'epoch': 0.01}"
"{'loss': 0.1895, 'learning_rate': 4.95798613542469e-05, 'epoch': 0.01}"
"{'loss': 0.1268, 'learning_rate': 4.957402609527811e-05, 'epoch': 0.01}"
"{'loss': 0.1781, 'learning_rate': 4.956819083630932e-05, 'epoch': 0.01}"
"{'loss': 0.1242, 'learning_rate': 4.9562355577340525e-05, 'epoch': 0.01}"
"{'loss': 0.1992, 'learning_rate': 4.9556520318371726e-05, 'epoch': 0.01}"
"{'loss': 0.1618, 'learning_rate': 4.955068505940294e-05, 'epoch': 0.01}"
"{'loss': 0.1477, 'learning_rate': 4.954484980043414e-05, 'epoch': 0.01}"
"{'loss': 0.1485, 'learning_rate': 4.953901454146535e-05, 'epoch': 0.01}"
"{'loss': 0.1278, 'learning_rate': 4.953317928249656e-05, 'epoch': 0.02}"
"{'loss': 0.174, 'learning_rate': 4.9527344023527766e-05, 'epoch': 0.02}"
"{'loss': 0.1023, 'learning_rate': 4.9521508764558974e-05, 'epoch': 0.02}"
"{'loss': 0.1722, 'learning_rate': 4.951567350559018e-05, 'epoch': 0.02}"
